cluster,lang,mapped_product,predict_product,product_name,question,subproduct_id,subproduct_name,verification
Others,ru,Smart QR,Smart QR,Smart QR,"Какие условия, чтобы получить Smart QR для физ. лиц?",56,Smart_QR,1
Cards,ru,Cards,Cards,Карты,Какие преимущества у карты #juniorcard?,7,JuniorBank,1
Others,ru,Smart QR,Avtokredit,Smart QR,Условия займа Smart QR,56,Smart_QR,0
Cards,ru,Cards,Cards,Карты,Какие типы валют поддерживает карта #blackedition?,0,BlackEdition,1
Transfers,ru,Transfers,Transfers,Переводы,Каковы условия перевода Золотая корона?,15,Koronapay,1
Cards,ru,Cards,Cards,Карты,Какой процент кэшбэка по карте #ҮлкенгеҚұрмет?,8,UlkengeKurmet,1
Others,ru,Smart QR,Avtokredit,Smart QR,Какие ставки вознаграждения по займам Smart QR?,56,Smart_QR,0
Cards,ru,Cards,Cards,Карты,Какова комиссия за безналичные платежи через банкоматы/ИПТ с картой #DragonCard?,52,DragonCard,1
Others,ru,Smart QR,Smart QR,Smart QR,Что такое Smart QR?,56,Smart_QR,1
Ipoteka,ru,Credits,Ipoteka,Кредиты,Какие сроки кредитования по #Ипотеке ДДУ?,22,Ipoteka_DDU,0
Ipoteka,ru,Credits,Ipoteka,Кредиты,Сколько гарантов может быть по #Ипотеке/Ипотеке+?,21,Ipoteka,0
Cards,ru,Cards,Cards,Карты,В каких отделениях открывают цифровую карту BCC PAY?,54,bccpay_2_0,1
Cards,ru,Cards,Cards,Карты,Какие опции доступны для пополнения карты #DragonCard через отделения БЦК?,52,DragonCard,1
Cards,ru,Cards,Cards,Карты,Каковы основные валюты ведения счета для карты #GoldCard?,44,GoldCard,1
Cards,ru,Cards,Cards,Карты,Сколько времени занимает закрытие карты #blackedition через отделение банка?,0,BlackEdition,1
Transfers,ru,Cards,Cards,Карты,Могу ли я перевести деньги на карту #DragonCard через систему SWIFT?,52,DragonCard,1
BCC_KZ,ru,Cards,Cards,Карты,Как использовать приложение BCC.KZ для пополнения карты #DragonCard?,52,DragonCard,1
Cards,ru,Cards,Cards,Карты,Какими способами можно пополнить карту #DragonCard?,52,DragonCard,1
Cards,ru,Cards,Cards,Карты,Есть ли возможность использовать банкоматы БЦК для пополнения карты #DragonCard?пвып,52,DragonCard,1
Cards,ru,Cards,Cards,Карты,Как установить PIN-код для карты #BlackEdition через BCC.KZ?,0,BlackEdition,1
Cards,ru,Cards,Cards,Карты,Какая комиссия за перевыпуск карты #GoldCard?,44,GoldCard,1
Others,ru,Savings,Savings,Сбережения,За что отвечает банк при продаже и покупке золотых слитков?,18,Gold,1
Transfers,ru,Transfers,Transfers,Переводы,Как мне получить перевод по Золотой короне?,15,Koronapay,1
Transfers,ru,Transfers,Transfers,Переводы,Какие данные нужны для оплаты юридическим лицам через Western Union?,14,WesternUnion,1
BCC_KZ,ru,Cards,Cards,Карты,Каковы лимиты на пополнение других мобильных операторов в BCC.KZ через карту #DragonCard?,52,DragonCard,1
Cards,ru,Cards,Cards,Карты,Каковы лимиты на оплату через Western Union с карты #DragonCard?,52,DragonCard,1
Cards,ru,Cards,Cards,Карты,Сколько стоит выпуск карты #GoldCard?,44,GoldCard,1
Cards,ru,Cards,Cards,Карты,"Какой повышенный кэшбэк предлагает Пакет услуг ""comfort""?",1233,Pakety_uslug,1
Cards,ru,Cards,Cards,Карты,Каковы условия кэшбэк по карте #blackedition?,0,BlackEdition,1
Deposits,ru,Savings,Savings,Сбережения,Как открыть металлический счёт?,51,Metal,1
Others,ru,Smart QR,Smart QR,Smart QR,Как получить кредит через Smart QR?,56,Smart_QR,1
Cards,ru,Cards,Cards,Карты,Сколько времени займет выпуск пластиковой карты #GoldCard?,44,GoldCard,1
Cards,ru,Cards,Cards,Карты,Возможен ли выпуск дополнительной карты #GoldCard?,44,GoldCard,1
Cards,ru,Cards,Cards,Карты,Каков срок действия карты #GoldCard?,44,GoldCard,1
Cards,ru,Cards,Cards,Карты,Как через СМС установить ПИН-код для карты #juniorcard?,7,JuniorBank,1
Cards,ru,Cards,Cards,Карты,Каков размер платы за перевыпуск карты #GoldCard по просьбе клиента?,44,GoldCard,1
Ipoteka,ru,Credits,Ipoteka,Кредиты,Можно ли нерезидентам оформить #Ипотеку ДДУ?,22,Ipoteka_DDU,0
Ipoteka,ru,Credits,Ipoteka,Кредиты,Какие требования по жилым домам по #Ипотеки?,21,Ipoteka,0
Transfers,ru,Savings,Transfers,Сбережения,Какая комиссия за перевод в тенге в другой банк через отделение Банка?,20,Accounts,0
Transfers,ru,Transfers,Transfers,Переводы,Каковы условия для отправки переводов в Туркменистан и Узбекистан по Western Union по тарифу «12 часов»?,14,WesternUnion,1
Cards,ru,Cards,Cards,Карты,Какой срок получения цифровой карты #GoldCard?,44,GoldCard,1
